sex,lives_with_partner,n_household,retired,age,age_partner,years_of_education,household_income,books_age_10,relative_math_ability_at_age_10,relative_language_ability_at_age_10
male,yes,2,no,58,64,9,25586,0-25,same/worse,same/worse
female,yes,2,yes,70,73,11,64963,0-25,better,better
male,yes,2,yes,69,65,13,25638,>25,same/worse,better
female,yes,2,yes,66,67,12,18171,0-25,same/worse,better
female,yes,2,yes,82,75,15,34836,0-25,better,same/worse
female,yes,2,no,56,72,10,15393,0-25,same/worse,same/worse
female,yes,3,no,53,58,12,41449,>25,better,better
male,yes,2,yes,79,72,5,38519,0-25,better,better
female,yes,2,yes,82,77,15,57714,0-25,better,better
female,no,1,yes,82,NA,8,2282,0-25,same/worse,better
female,yes,2,yes,70,72,17,30150,>25,better,better
male,yes,2,yes,67,62,13,26514,>25,same/worse,same/worse
male,no,1,no,74,NA,11,21700,>25,better,better
female,no,1,yes,75,NA,10,24962,>25,better,better
female,yes,2,yes,79,77,17,33448,>25,same/worse,better
female,yes,2,yes,67,68,12,23300,>25,better,same/worse
female,yes,2,no,58,65,18,26242,>25,better,better
female,no,1,yes,85,NA,12,17172,>25,same/worse,same/worse
male,no,1,yes,76,NA,5,10385,0-25,better,same/worse
male,yes,2,yes,73,66,5,14889,0-25,same/worse,same/worse
female,yes,2,yes,68,70,7,9942,0-25,same/worse,same/worse
male,yes,2,yes,69,68,13,20303,0-25,same/worse,same/worse
female,yes,2,no,60,68,12,40608,>25,better,better
female,no,1,yes,68,NA,12,16000,>25,same/worse,same/worse
female,no,1,yes,88,NA,7,6289,0-25,same/worse,same/worse
male,yes,2,yes,69,65,15,20134,>25,better,same/worse
male,no,1,yes,75,NA,5,5239,0-25,same/worse,same/worse
female,yes,2,yes,75,73,14,39010,>25,same/worse,better
female,no,1,yes,71,NA,11,7961,0-25,same/worse,better
female,yes,2,no,56,64,13,25100,0-25,same/worse,same/worse
male,yes,2,yes,72,69,16,24224,>25,better,better
male,yes,2,no,59,66,16,26191,0-25,better,better
female,no,1,yes,73,NA,13,91045,>25,better,better
female,yes,2,no,56,59,13,29024,0-25,better,better
female,no,1,yes,75,NA,6,29201,0-25,same/worse,same/worse
female,yes,2,yes,79,80,5,24785,0-25,same/worse,same/worse
male,yes,2,yes,70,65,13,27246,>25,better,same/worse
male,yes,2,no,63,57,18,39735,>25,better,better
female,yes,2,yes,74,72,10,15805,0-25,better,better
male,yes,2,yes,72,74,13,30146,>25,better,better
female,yes,2,yes,71,71,20,37803,>25,same/worse,better
male,yes,2,yes,78,74,3,5441,0-25,same/worse,same/worse
male,no,1,yes,81,NA,9,2728,0-25,better,better
female,no,3,yes,74,NA,15,34459,>25,better,better
male,yes,2,no,59,59,17,49286,>25,better,better
male,yes,2,yes,70,69,13,28137,>25,same/worse,better
female,yes,2,yes,73,74,13,34244,>25,better,better
female,no,1,yes,77,NA,12,1898,>25,same/worse,better
male,yes,3,no,60,62,16,60664,>25,better,same/worse
male,yes,3,yes,75,68,15,51588,>25,better,better
female,no,1,yes,74,NA,8,13374,0-25,better,same/worse
male,yes,2,yes,70,66,11,15343,>25,same/worse,better
male,yes,2,no,70,67,9,14637,0-25,same/worse,better
male,yes,2,yes,80,72,8,10780,0-25,same/worse,same/worse
female,yes,2,no,65,64,7,12910,0-25,same/worse,same/worse
female,yes,2,yes,73,73,12,34813,>25,same/worse,better
male,yes,2,yes,75,68,12,33055,0-25,same/worse,same/worse
male,yes,2,yes,71,68,15,56528,>25,better,better
female,yes,2,yes,83,79,17,39607,>25,better,better
female,yes,2,no,55,57,13,29768,>25,same/worse,same/worse
male,yes,2,yes,82,74,14,56864,0-25,better,same/worse
female,yes,2,yes,89,80,14,18966,0-25,better,better
male,yes,2,yes,74,72,11,126500,0-25,better,better
female,no,1,yes,76,NA,23,21614,>25,better,better
male,yes,2,yes,77,73,6,74684,0-25,better,better
male,yes,3,yes,65,61,16,37262,0-25,better,same/worse
female,no,1,no,60,NA,10,54498,0-25,better,better
female,yes,2,yes,70,72,11,44074,0-25,same/worse,better
male,yes,2,yes,83,73,16,112548,>25,better,same/worse
female,yes,2,yes,69,74,7,77239,0-25,same/worse,same/worse
male,yes,2,yes,69,67,6,7885,0-25,same/worse,same/worse
male,yes,2,yes,72,67,13,13371,0-25,same/worse,same/worse
female,yes,2,yes,71,69,14,12334,0-25,same/worse,same/worse
male,no,1,yes,93,NA,8,7264,>25,better,better
male,yes,2,yes,67,64,11,33624,>25,better,better
female,no,1,no,62,NA,13,21205,>25,same/worse,better
female,yes,2,yes,66,72,13,25357,0-25,same/worse,same/worse
female,yes,2,no,58,60,17,27664,>25,better,better
male,no,1,no,59,NA,17,15570,>25,better,same/worse
male,yes,2,yes,72,66,14,40715,0-25,better,better
female,no,1,no,64,NA,12,22896,>25,better,better
male,no,1,yes,76,NA,2,11172,0-25,better,same/worse
male,yes,3,no,60,55,10,35504,0-25,same/worse,same/worse
male,no,4,yes,64,NA,7,58078,>25,better,better
female,no,1,yes,76,NA,9,2965,>25,same/worse,same/worse
male,yes,2,yes,67,64,16,46555,>25,better,better
female,yes,2,yes,69,71,8,82579,>25,same/worse,same/worse
male,yes,2,yes,92,76,9,37249,>25,same/worse,same/worse
male,yes,2,no,69,66,12,35292,>25,better,better
male,yes,2,yes,70,66,12,28678,>25,better,same/worse
female,no,1,yes,71,NA,10,463,0-25,better,same/worse
male,yes,2,no,56,55,15,46653,>25,better,better
female,no,1,yes,86,NA,15,5973,0-25,better,better
male,no,1,yes,72,NA,8,1440,0-25,same/worse,same/worse
male,yes,2,yes,94,85,13,18548,0-25,same/worse,same/worse
male,yes,2,yes,73,66,7,21638,>25,better,same/worse
female,yes,2,no,56,63,19,38943,>25,same/worse,same/worse
male,yes,2,yes,84,81,5,14537,0-25,better,same/worse
male,yes,3,no,52,53,15,42080,>25,better,better
male,yes,2,yes,68,70,10,26631,0-25,better,better
female,yes,2,yes,68,68,12,20135,0-25,same/worse,same/worse
male,yes,2,yes,73,68,16,37213,>25,better,same/worse
male,yes,2,yes,74,78,6,22561,>25,better,better
male,yes,2,yes,74,68,16,46156,>25,better,better
female,yes,2,no,63,61,8,16115,0-25,same/worse,same/worse
female,yes,2,no,57,62,11,51689,0-25,better,better
male,no,1,no,62,NA,17,33965,>25,better,better
female,yes,2,yes,67,68,17,49382,>25,same/worse,better
male,yes,2,no,58,55,8,26719,>25,same/worse,same/worse
male,yes,2,yes,71,68,12,28044,0-25,same/worse,same/worse
female,yes,2,yes,93,84,8,31789,0-25,same/worse,better
female,no,1,yes,71,NA,13,1020,>25,same/worse,same/worse
male,yes,2,yes,74,67,14,22913,>25,better,better
male,yes,2,yes,71,65,5,67420,>25,same/worse,same/worse
female,no,1,yes,78,NA,7,14765,>25,better,better
female,no,1,yes,72,NA,12,33512,>25,better,better
male,yes,2,yes,67,64,15,15041,>25,same/worse,same/worse
female,yes,2,yes,75,77,9,20760,0-25,same/worse,same/worse
female,yes,2,yes,68,68,12,22255,0-25,better,same/worse
female,yes,2,yes,70,75,13,53407,0-25,better,same/worse
female,yes,2,no,64,62,11,19812,>25,same/worse,same/worse
female,no,1,yes,71,NA,14,30948,>25,same/worse,better
male,yes,2,yes,71,65,14,11552,>25,better,same/worse
female,no,1,no,61,NA,7,9259,0-25,same/worse,better
female,no,1,yes,74,NA,6,1451,0-25,same/worse,same/worse
female,yes,2,yes,77,79,12,33348,0-25,same/worse,same/worse
female,yes,2,yes,66,78,16,20409,>25,better,better
male,no,1,yes,76,NA,6,46563,0-25,better,same/worse
female,yes,2,yes,84,77,18,29083,>25,better,better
female,yes,2,yes,70,73,11,26221,0-25,better,better
female,yes,2,yes,61,69,11,8092,>25,better,same/worse
female,yes,2,yes,69,74,10,28089,0-25,same/worse,same/worse
female,yes,2,no,62,67,18,26057,0-25,better,better
female,yes,2,yes,68,71,11,15876,0-25,same/worse,same/worse
female,yes,2,yes,74,71,14,19102,>25,better,same/worse
female,yes,2,yes,72,71,12,16545,0-25,same/worse,same/worse
male,yes,2,yes,73,67,11,20666,0-25,same/worse,same/worse
female,no,1,yes,73,NA,10,9081,0-25,same/worse,same/worse
female,no,1,yes,77,NA,3,12050,0-25,same/worse,better
female,yes,2,no,56,70,14,29268,>25,same/worse,better
male,yes,2,yes,71,76,10,8881,0-25,better,same/worse
male,yes,2,yes,72,68,6,24401,0-25,same/worse,same/worse
female,no,1,no,62,NA,14,3573,>25,same/worse,same/worse
male,yes,2,yes,70,65,13,74034,>25,better,same/worse
male,yes,2,yes,70,68,7,34263,0-25,better,same/worse
female,yes,2,yes,66,70,12,38600,>25,same/worse,better
male,no,1,yes,77,NA,7,392,0-25,same/worse,same/worse
male,yes,2,no,60,56,9,74779,>25,same/worse,better
female,no,3,no,58,NA,8,33533,0-25,same/worse,same/worse
male,no,1,yes,82,NA,18,11528,>25,better,same/worse
female,no,1,yes,66,NA,6,7256,0-25,better,same/worse
male,yes,2,yes,69,68,11,56062,>25,better,better
female,no,1,no,64,NA,14,18453,>25,same/worse,better
male,no,3,no,57,NA,15,49698,>25,better,better
female,yes,2,yes,78,74,8,22061,0-25,same/worse,better
female,yes,2,no,65,79,14,35512,>25,better,same/worse
male,no,1,yes,78,NA,6,2862,0-25,same/worse,better
female,yes,2,no,68,65,12,34875,>25,same/worse,better
female,yes,2,yes,71,77,8,22266,>25,same/worse,better
female,yes,2,yes,61,66,6,16190,>25,same/worse,same/worse
female,yes,2,yes,79,82,3,24176,0-25,same/worse,same/worse
male,yes,2,no,65,59,19,24069,>25,better,same/worse
female,no,1,yes,75,NA,11,8153,>25,same/worse,same/worse
female,yes,2,yes,80,82,10,38174,>25,better,better
female,yes,2,yes,69,71,15,24874,>25,same/worse,better
female,yes,2,yes,74,75,5,7096,0-25,better,same/worse
female,yes,2,no,56,67,15,33579,>25,better,better
male,yes,2,yes,79,68,16,35651,>25,better,same/worse
male,yes,2,yes,67,67,9,40304,>25,better,better
male,yes,2,yes,78,70,11,17702,0-25,better,same/worse
female,no,1,yes,78,NA,4,19232,0-25,same/worse,better
female,no,1,yes,70,NA,15,10781,>25,same/worse,same/worse
female,yes,2,yes,67,70,10,19901,>25,better,better
female,no,1,no,64,NA,10,87049,0-25,better,better
female,yes,2,yes,71,82,15,45708,>25,same/worse,better
male,no,2,no,59,NA,11,23754,>25,better,better
male,yes,3,no,69,57,14,45789,>25,better,same/worse
male,yes,2,yes,68,65,11,74757,>25,same/worse,better
female,yes,2,yes,67,74,8,53233,>25,better,better
male,yes,2,yes,75,72,14,12641,>25,better,better
male,yes,2,yes,80,69,12,19248,>25,better,same/worse
female,no,1,yes,73,NA,13,9598,>25,better,same/worse
female,yes,2,yes,71,72,11,17821,0-25,same/worse,same/worse
female,yes,2,yes,67,73,14,95159,>25,better,same/worse
female,yes,2,yes,67,68,13,28732,>25,same/worse,same/worse
male,yes,2,yes,72,67,11,50424,>25,same/worse,same/worse
female,no,1,yes,100,NA,3,10318,0-25,same/worse,same/worse
male,yes,2,no,55,55,19,32242,>25,better,better
female,no,1,yes,73,NA,5,8342,0-25,same/worse,same/worse
male,yes,2,yes,89,77,11,53466,>25,better,same/worse
male,yes,2,yes,69,74,4,31177,>25,better,better
male,yes,2,yes,72,66,8,29747,>25,better,better
male,yes,2,yes,71,72,13,38529,>25,better,better
female,yes,2,yes,67,71,7,12823,>25,same/worse,same/worse
male,yes,2,yes,68,68,10,22166,>25,better,same/worse
male,yes,2,no,66,62,8,26524,0-25,same/worse,same/worse
female,no,1,yes,92,NA,5,29281,0-25,same/worse,same/worse
female,yes,2,no,55,58,16,66952,>25,same/worse,better
male,yes,2,no,55,53,5,37871,>25,same/worse,same/worse
female,no,1,no,71,NA,10,29557,>25,better,better
male,yes,2,yes,73,72,5,51139,0-25,better,same/worse
female,yes,2,no,59,61,10,24323,0-25,same/worse,same/worse
female,yes,2,yes,69,72,15,36677,0-25,same/worse,same/worse
male,yes,2,yes,71,68,12,36934,>25,same/worse,better
female,yes,2,no,59,65,9,35946,>25,same/worse,same/worse
female,yes,2,yes,66,78,11,55448,>25,same/worse,same/worse
female,yes,2,no,54,61,9,24796,>25,same/worse,same/worse
male,no,1,yes,71,NA,13,2878,>25,same/worse,same/worse
female,no,1,no,60,NA,10,12715,>25,same/worse,better
female,yes,2,yes,81,75,7,20159,0-25,same/worse,same/worse
male,yes,5,no,50,43,19,68672,>25,same/worse,same/worse
male,no,1,yes,79,NA,9,10521,>25,same/worse,same/worse
female,yes,2,yes,87,78,7,39126,>25,better,better
female,no,1,yes,78,NA,17,654,0-25,same/worse,better
male,yes,2,yes,71,67,11,28506,0-25,better,better
female,yes,2,yes,72,72,9,39625,>25,better,better
male,yes,2,yes,82,72,12,15400,>25,same/worse,better
male,yes,2,yes,73,68,9,36133,0-25,same/worse,better
female,no,1,yes,73,NA,17,15214,>25,same/worse,better
female,no,1,yes,80,NA,16,21605,>25,better,better
male,yes,2,no,57,56,9,51551,>25,better,same/worse
male,no,1,yes,77,NA,12,8116,0-25,same/worse,same/worse
male,no,1,yes,72,NA,11,14883,0-25,same/worse,same/worse
female,yes,2,yes,69,69,10,5660,0-25,same/worse,same/worse
male,yes,2,yes,77,68,16,22645,>25,same/worse,same/worse
male,yes,2,yes,71,68,10,38513,0-25,better,better
